# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 20 MeV
20.000000	0.000000	0.000000
19.999973	0.001000	0.013054
19.999946	0.002000	0.026107
19.999918	0.003000	0.039161
19.999891	0.004000	0.052214
19.999864	0.005000	0.065268
19.999837	0.006000	0.078321
19.999810	0.007000	0.091375
19.999782	0.008000	0.104429
19.999755	0.009000	0.117482
19.999728	0.010000	0.130536
19.999701	0.011000	0.143589
19.999674	0.012000	0.156643
19.999646	0.013000	0.169696
19.999619	0.014000	0.182750
19.999592	0.015000	0.195803
19.999565	0.016000	0.208857
19.999538	0.017000	0.221911
19.999510	0.018000	0.234964
19.999483	0.019000	0.248018
19.999456	0.020000	0.261071
19.999429	0.021000	0.274125
19.999402	0.022000	0.287178
19.999374	0.023000	0.300232
19.999347	0.024000	0.313286
19.999320	0.025000	0.326339
19.999293	0.026000	0.339393
19.999266	0.027000	0.352446
19.999238	0.028000	0.365500
19.999211	0.029000	0.378553
19.999184	0.030000	0.391607
19.999157	0.031000	0.404660
19.999130	0.032000	0.417714
19.999102	0.033000	0.430768
19.999075	0.034000	0.443821
19.999048	0.035000	0.456875
19.999021	0.036000	0.469928
19.998994	0.037000	0.482982
19.998966	0.038000	0.496035
19.998939	0.039000	0.509089
19.998912	0.040000	0.522143
19.998885	0.041000	0.535196
19.998858	0.042000	0.548250
19.998830	0.043000	0.561303
19.998803	0.044000	0.574357
19.998776	0.045000	0.587410
19.998749	0.046000	0.600464
19.998721	0.047000	0.613517
19.998694	0.048000	0.626571
19.998667	0.049000	0.639625
19.998640	0.050000	0.652678
19.998613	0.051000	0.665732
19.998585	0.052000	0.678785
19.998558	0.053000	0.691839
19.998531	0.054000	0.704892
19.998504	0.055000	0.717946
19.998477	0.056000	0.731000
19.998449	0.057000	0.744053
19.998422	0.058000	0.757107
19.998395	0.059000	0.770160
19.998368	0.060000	0.783214
19.998341	0.061000	0.796267
19.998313	0.062000	0.809321
19.998286	0.063000	0.822374
19.998259	0.064000	0.835428
19.998232	0.065000	0.848482
19.998205	0.066000	0.861535
19.998177	0.067000	0.874589
19.998150	0.068000	0.887642
19.998123	0.069000	0.900696
19.998096	0.070000	0.913749
19.998069	0.071000	0.926803
19.998041	0.072000	0.939857
19.998014	0.073000	0.952910
19.997987	0.074000	0.965964
19.997960	0.075000	0.979017
19.997933	0.076000	0.992071
19.997905	0.077000	1.005124
19.997878	0.078000	1.018178
19.997851	0.079000	1.031231
19.997824	0.080000	1.044285
19.997797	0.081000	1.057339
19.997769	0.082000	1.070392
19.997742	0.083000	1.083446
19.997715	0.084000	1.096499
19.997688	0.085000	1.109553
19.997661	0.086000	1.122606
19.997633	0.087000	1.135660
19.997606	0.088000	1.148714
19.997579	0.089000	1.161767
19.997552	0.090000	1.174821
19.997525	0.091000	1.187874
19.997497	0.092000	1.200928
19.997470	0.093000	1.213981
19.997443	0.094000	1.227035
19.997416	0.095000	1.240088
19.997389	0.096000	1.253142
19.997361	0.097000	1.266196
19.997334	0.098000	1.279249
19.997307	0.099000	1.292303
19.997280	0.100000	1.305356
19.997252	0.101000	1.318410
19.997225	0.102000	1.331463
19.997198	0.103000	1.344517
19.997171	0.104000	1.357571
19.997144	0.105000	1.370624
19.997116	0.106000	1.383678
19.997089	0.107000	1.396731
19.997062	0.108000	1.409785
19.997035	0.109000	1.422838
19.997008	0.110000	1.435892
19.996980	0.111000	1.448945
19.996953	0.112000	1.461999
19.996926	0.113000	1.475053
19.996899	0.114000	1.488106
19.996872	0.115000	1.501160
19.996844	0.116000	1.514213
19.996817	0.117000	1.527267
19.996790	0.118000	1.540320
19.996763	0.119000	1.553374
19.996736	0.120000	1.566428
19.996708	0.121000	1.579481
19.996681	0.122000	1.592535
19.996654	0.123000	1.605588
19.996627	0.124000	1.618642
19.996600	0.125000	1.631695
19.996572	0.126000	1.644749
19.996545	0.127000	1.657802
19.996518	0.128000	1.670856
19.996491	0.129000	1.683910
19.996464	0.130000	1.696963
19.996436	0.131000	1.710017
19.996409	0.132000	1.723070
